Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
1,2024-11-23,CUST001,Male,19,Electronics,3,30,90
2,2024-04-24,CUST002,Male,24,Electronics,1,500,500
3,2024-08-04,CUST003,Male,19,Beauty,2,30,60
4,2024-09-15,CUST004,Male,53,Beauty,4,30,120
5,2024-08-17,CUST005,Female,18,Beauty,4,50,200
6,2024-05-22,CUST006,Male,31,Clothing,1,25,25
7,2024-07-13,CUST007,Male,40,Clothing,3,25,75
8,2024-08-23,CUST008,Male,42,Beauty,3,500,1500
9,2024-07-04,CUST009,Male,63,Beauty,1,30,30
10,2024-05-28,CUST010,Male,32,Beauty,4,50,200
11,2024-08-20,CUST011,Female,28,Clothing,3,30,90
12,2024-12-09,CUST012,Female,62,Electronics,1,500,500
13,2024-11-21,CUST013,Male,52,Electronics,2,30,60
14,2024-08-24,CUST014,Female,35,Electronics,2,50,100
15,2024-01-29,CUST015,Male,20,Clothing,4,50,200
16,2024-02-03,CUST016,Male,54,Electronics,3,30,90
17,2024-12-01,CUST017,Female,43,Electronics,4,30,120
18,2024-05-15,CUST018,Male,33,Electronics,3,500,1500
19,2024-08-07,CUST019,Female,41,Beauty,2,500,1000
20,2024-09-09,CUST020,Male,21,Beauty,2,30,60
21,2024-12-14,CUST021,Female,56,Beauty,4,300,1200
22,2024-11-01,CUST022,Female,51,Clothing,1,25,25
23,2024-12-15,CUST023,Female,59,Clothing,1,50,50
24,2024-08-10,CUST024,Male,47,Beauty,3,500,1500
25,2024-04-01,CUST025,Male,58,Clothing,2,30,60
26,2024-07-10,CUST026,Male,52,Electronics,1,500,500
27,2024-06-14,CUST027,Female,19,Beauty,3,50,150
28,2024-05-02,CUST028,Male,33,Electronics,1,25,25
29,2024-09-05,CUST029,Male,52,Beauty,2,300,600
30,2024-10-08,CUST030,Male,34,Electronics,4,30,120
31,2024-10-03,CUST031,Male,63,Clothing,4,50,200
32,2024-08-12,CUST032,Female,25,Beauty,2,25,50
33,2024-06-22,CUST033,Male,55,Electronics,2,500,1000
34,2024-04-22,CUST034,Male,22,Electronics,1,30,30
35,2024-02-04,CUST035,Male,39,Beauty,2,50,100
36,2024-12-08,CUST036,Female,31,Electronics,2,500,1000
37,2024-10-22,CUST037,Female,33,Clothing,4,30,120
38,2024-02-18,CUST038,Male,60,Clothing,3,300,900
39,2024-07-29,CUST039,Female,64,Beauty,1,25,25
40,2024-07-25,CUST040,Female,24,Beauty,2,30,60
41,2024-10-01,CUST041,Female,26,Clothing,2,50,100
42,2024-08-24,CUST042,Male,22,Clothing,1,25,25
43,2024-11-29,CUST043,Male,23,Beauty,2,300,600
44,2024-09-05,CUST044,Female,31,Clothing,1,30,30
45,2024-07-13,CUST045,Male,42,Clothing,4,50,200
46,2024-08-04,CUST046,Female,27,Beauty,3,30,90
47,2024-01-30,CUST047,Male,38,Beauty,1,500,500
48,2024-09-01,CUST048,Male,21,Electronics,1,30,30
49,2024-02-05,CUST049,Male,61,Beauty,4,25,100
50,2024-10-18,CUST050,Male,55,Electronics,1,500,500
51,2024-02-11,CUST051,Female,60,Electronics,3,50,150
52,2024-04-14,CUST052,Female,33,Clothing,4,30,120
53,2024-12-09,CUST053,Female,47,Clothing,1,25,25
54,2024-08-22,CUST054,Male,22,Electronics,2,500,1000
55,2024-05-15,CUST055,Male,40,Beauty,2,50,100
56,2024-05-25,CUST056,Male,46,Electronics,3,500,1500
57,2024-11-30,CUST057,Male,60,Electronics,3,25,75
58,2024-03-09,CUST058,Female,25,Beauty,2,50,100
59,2024-05-24,CUST059,Male,63,Clothing,2,50,100
60,2024-09-15,CUST060,Female,34,Beauty,1,300,300
61,2024-05-21,CUST061,Male,18,Clothing,2,50,100
62,2024-03-23,CUST062,Female,53,Electronics,4,500,2000
63,2024-01-05,CUST063,Male,22,Electronics,2,500,1000
64,2024-01-19,CUST064,Female,55,Electronics,2,300,600
65,2024-03-06,CUST065,Male,37,Clothing,1,50,50
66,2024-04-17,CUST066,Male,60,Beauty,3,500,1500
67,2024-07-27,CUST067,Male,33,Beauty,2,300,600
68,2024-01-13,CUST068,Male,39,Clothing,2,50,100
69,2024-03-22,CUST069,Male,42,Beauty,4,30,120
70,2024-04-12,CUST070,Female,40,Clothing,2,30,60
71,2024-01-13,CUST071,Male,43,Clothing,3,25,75
72,2024-05-22,CUST072,Female,59,Electronics,4,500,2000
73,2024-06-18,CUST073,Male,25,Clothing,2,500,1000
74,2024-05-15,CUST074,Male,24,Electronics,4,50,200
75,2024-06-09,CUST075,Female,56,Electronics,1,300,300
76,2024-10-22,CUST076,Male,34,Beauty,4,25,100
77,2024-09-23,CUST077,Male,41,Clothing,1,50,50
78,2024-11-15,CUST078,Female,60,Beauty,3,500,1500
79,2024-06-07,CUST079,Female,38,Clothing,3,500,1500
80,2024-03-06,CUST080,Male,44,Electronics,4,30,120
81,2024-11-11,CUST081,Female,43,Electronics,1,50,50
82,2024-05-26,CUST082,Male,45,Electronics,3,300,900
83,2024-08-14,CUST083,Female,61,Beauty,4,30,120
84,2024-12-03,CUST084,Male,36,Electronics,3,25,75
85,2024-04-30,CUST085,Female,32,Beauty,2,25,50
86,2024-01-24,CUST086,Male,48,Electronics,1,300,300
87,2024-07-31,CUST087,Male,63,Electronics,4,300,1200
88,2024-07-23,CUST088,Male,27,Electronics,1,25,25
89,2024-08-05,CUST089,Male,29,Electronics,4,25,100
90,2024-10-12,CUST090,Male,25,Clothing,2,300,600
91,2024-12-07,CUST091,Female,46,Electronics,4,500,2000
92,2024-08-16,CUST092,Male,48,Clothing,3,30,90
93,2024-11-22,CUST093,Female,51,Clothing,2,50,100
94,2024-08-13,CUST094,Male,63,Clothing,2,50,100
95,2024-06-20,CUST095,Female,52,Beauty,2,30,60
96,2024-04-28,CUST096,Female,62,Beauty,2,25,50
97,2024-07-31,CUST097,Female,39,Electronics,4,300,1200
98,2024-02-01,CUST098,Male,44,Clothing,1,500,500
99,2024-07-13,CUST099,Female,18,Clothing,3,300,900
100,2024-08-02,CUST100,Male,49,Beauty,3,300,900
101,2024-09-05,CUST101,Male,42,Clothing,4,30,120
102,2024-08-27,CUST102,Male,57,Electronics,1,300,300
103,2024-10-30,CUST103,Male,23,Electronics,4,30,120
104,2024-08-24,CUST104,Male,21,Clothing,4,50,200
105,2024-04-18,CUST105,Female,38,Clothing,4,50,200
106,2024-08-03,CUST106,Female,23,Clothing,1,500,500
107,2024-01-27,CUST107,Female,32,Electronics,1,25,25
108,2024-01-16,CUST108,Male,30,Beauty,2,30,60
109,2024-03-05,CUST109,Female,60,Beauty,2,300,600
110,2024-12-24,CUST110,Female,41,Beauty,1,30,30
111,2024-06-08,CUST111,Male,55,Beauty,3,500,1500
112,2024-12-12,CUST112,Female,43,Electronics,2,25,50
113,2024-10-30,CUST113,Male,24,Electronics,3,500,1500
114,2024-03-02,CUST114,Male,40,Electronics,4,50,200
115,2024-02-05,CUST115,Female,18,Clothing,4,25,100
116,2024-08-09,CUST116,Female,58,Clothing,2,300,600
117,2024-03-31,CUST117,Female,57,Electronics,4,300,1200
